co,no2,o3,pm10,pm25,predicted aqi,City,Date
2.8652169542887327,7.6465755863285905,19.80643274853802,18.47656723982837,9.0,43.57112191131398,Salem,2021-01-01
2.8,12.1,17.6,20.96808510638298,50.0,131.8520476868489,Salt Lake City,2021-01-01
2.8652169542887327,2.3,24.1,18.47656723982837,17.0,61.148136965163985,San Antonio,2021-01-01
8.1,12.1,7.3,18.47656723982837,100.0,240.3168632790679,San Diego,2021-01-01
6.2,10.2,8.8,18.47656723982837,46.0,123.51265649777929,San Francisco,2021-01-01
6.6,13.0,9.6,18.47656723982837,53.0,138.5151291274608,San Jose,2021-01-01
2.3,8.4,16.0,18.47656723982837,21.0,69.47224778392604,Seattle,2021-01-01
2.8652169542887327,7.6465755863285905,24.821285140562267,18.47656723982837,30.0,88.98262755233804,Springfield,2021-01-01
4.5,23.2,4.8,18.47656723982837,40.0,109.83431611246942,Staten Island,2021-01-01
1.4740740740740745,7.6465755863285905,10.43994565217392,15.283582089552239,34.0,97.94222602200705,Tallahassee,2021-01-01
2.4,11.320197044334977,16.8,18.47656723982837,38.0,106.09648390448058,The Bronx,2021-01-01
2.6,10.7,16.0,20.0,42.0,114.634767824336,Tucson,2021-01-01
1.8,6.4,8.6,18.47656723982837,46.0,123.65764659885258,Washington D.C.,2021-01-01
2.0,6.5,22.4,14.0,22.0,72.48983022802008,Albuquerque,2021-01-02
2.4,4.7,12.8,16.0,37.0,104.85883041253919,Atlanta,2021-01-02
2.8652169542887327,1.1,22.4,18.47656723982837,17.0,61.50006214341022,Austin,2021-01-02
2.8652169542887327,11.2,2.4,7.0,17.0,62.08628339553968,Baltimore,2021-01-02
1.7,4.7,20.4,9.0,13.0,53.554502900308876,Boise,2021-01-02
2.3,2.8,23.3,18.47656723982837,13.0,52.734332684942046,Boston,2021-01-02
2.5,10.695483870967745,20.0,18.47656723982837,32.0,93.4542371174474,Brooklyn,2021-01-02
0.5,5.8951754385964925,7.3,6.0,17.0,62.42712113103528,Charlotte,2021-01-02
3.8,10.2,20.0,24.0,61.0,155.71306846382765,Chicago,2021-01-02
2.3,3.8,27.718775510204093,18.47656723982837,18.0,63.478677336182955,Columbus,2021-01-02
2.3,2.2,24.8,4.0,14.0,56.28600326400522,Dallas,2021-01-02
2.2,6.0,14.3,10.0,17.0,62.00786767613647,Denver,2021-01-02
4.5,10.2,14.5,6.0,30.0,90.31021161922888,Detroit,2021-01-02
2.3,8.8,21.6,20.0,21.0,69.5470867906597,El Paso,2021-01-02
